model,forcing,initial_condition,tag,beaker_id,wandb_id
ACE2-SOM-multi-climate-RS1,2xCO2,ic5,,01JDGKVRA796W130NNR2KP3WKP,ai2cm/ace-som/v4ycm4g1
ACE2-SOM-multi-climate-RS1,3xCO2,ic1,,01JDGKVXWANVYS9AQWM3NRYYJM,ai2cm/ace-som/3jncc1od
ACE2-SOM-multi-climate-RS1,3xCO2,ic2,,01JDGKW3D00NWTYJS84GYYJ7F8,ai2cm/ace-som/fnp3niav
ACE2-SOM-multi-climate-RS1,3xCO2,ic3,,01JDGKWA388MSHCGVEEMS4T3FP,ai2cm/ace-som/p3yile87
ACE2-SOM-multi-climate-RS1,3xCO2,ic4,,01JDGKWFVZ04T7T17ZSJS0AFN7,ai2cm/ace-som/ds12m5yv
ACE2-SOM-multi-climate-RS1,3xCO2,ic5,,01JDGKWNDY1F4T7EXJVV8SWCPX,ai2cm/ace-som/trrpff9c
ACE2-SOM-multi-climate-RS1,4xCO2,ic1,,01JDGKWTK3D7Q9Z26RK1KFMACR,ai2cm/ace-som/apfqn1wm
ACE2-SOM-multi-climate-RS1,4xCO2,ic2,,01JDGKX05G37TXZ0SHXMPZG8TX,ai2cm/ace-som/jze9mmwa
ACE2-SOM-multi-climate-RS1,4xCO2,ic3,,01JDGKX642JX4EJDJ5BH0VDSRP,ai2cm/ace-som/xfrte5zn
ACE2-SOM-multi-climate-RS1,4xCO2,ic4,,01JDGKXBZXQP0980EVVSE4CYAN,ai2cm/ace-som/7ymvguea
ACE2-SOM-multi-climate-RS1,4xCO2,ic5,,01JDGKXHB57A82Z5SZ95V9D1WP,ai2cm/ace-som/jnicpav0
ACE2-SOM-multi-climate-RS2,1xCO2,ic1,,01JDGKXPZ3J5V2H1NFPQ22QKBE,ai2cm/ace-som/t2h6xv9z
ACE2-SOM-multi-climate-RS2,1xCO2,ic2,,01JDGKXWGD5S3XP6WG2K0KM8H5,ai2cm/ace-som/kxnhehdk
ACE2-SOM-multi-climate-RS2,1xCO2,ic3,,01JDGKY1MFG0RZ9NVGDW97YXR9,ai2cm/ace-som/bwmkphqk
ACE2-SOM-multi-climate-RS2,1xCO2,ic4,,01JDGKY6Q0TCXX99MBZP93ZWYR,ai2cm/ace-som/mkeubdxn
ACE2-SOM-multi-climate-RS2,1xCO2,ic5,,01JDGKYC62304S1GW88P3VKGHA,ai2cm/ace-som/m91av7fu
ACE2-SOM-multi-climate-RS2,2xCO2,ic1,,01JDGKYHN1YWG7AS6390D1XTQN,ai2cm/ace-som/vs8qe81m
ACE2-SOM-multi-climate-RS2,2xCO2,ic2,,01JDGKYPY2PSQYCW2J3AC3KJG5,ai2cm/ace-som/uvyjahex
ACE2-SOM-multi-climate-RS2,2xCO2,ic3,,01JDGKYWJ50ZS5XVYWSX90S95V,ai2cm/ace-som/gr5ur727
ACE2-SOM-multi-climate-RS2,2xCO2,ic4,,01JDGKZ24NNXDPCQDHMSC2RSHB,ai2cm/ace-som/d24bvgrb
ACE2-SOM-multi-climate-RS2,2xCO2,ic5,,01JDGKZ7AFXVF1C1WTDPW84KJJ,ai2cm/ace-som/yxy20a6t
ACE2-SOM-multi-climate-RS2,3xCO2,ic1,,01JDGKZCH3RAS3YDNF2AHG3AZ2,ai2cm/ace-som/jl61c20e
ACE2-SOM-multi-climate-RS2,3xCO2,ic2,,01JDGKZJ3H4A0X26MV1RXQMZWC,ai2cm/ace-som/4cbmvxjx
ACE2-SOM-multi-climate-RS2,3xCO2,ic3,,01JDGKZQSX23QGBT7F2T0MAJ8A,ai2cm/ace-som/zlz6kq76
ACE2-SOM-multi-climate-RS2,3xCO2,ic4,,01JDGKZX1AJF496MQF56QGMH0A,ai2cm/ace-som/wtsppbv0
ACE2-SOM-multi-climate-RS2,3xCO2,ic5,,01JDGM02C36R3VFEEFN61QFP5V,ai2cm/ace-som/bi5nbym1
